10
9.3 18.6 28.1 37.6 46.8 55.1 65.7 71.3 84.7 93.1
10
12.7 25.6 38.1 51.3 63.1 76.8 92.8 98.7 112.3 127.4

9.2	9.1	9.1	9.1	9.1	9.1	9	9	9	9
18.5	18.5	18.4	18.4	18.3	18.3	18.3	18.3	18.3	18.2
28.1	27.9	27.8	27.8	27.6	27.6	27.5	27.5	27.5	27.5
37.6	37.5	37.5	37.3	37.1	36.9	36.7	36.5	36.4	36.2
46	45.7	40.2	40.1	39.8	39.6	39.5	39.5	39.5	39.5
53.9	51.2	44.9	41.6	41.3	41.2	41	41	41	41
57.5	52.2	46.4	46.2	46.1	46.1	46.1	46.1	46	46
59.3	54.2	48.4	47.4	47.4	47.4	47.2	47.2	47.2	47.2
60.1	56.5	55.8	49.5	49.3	48.1	47.6	47.6	47.6	47.6
76.9	67.9	59.7	51.4	50.9	50.7	49.9	49.9	49.9	49.9
